,AIRLINE,ARRIVAL_DELAY
459,NK,-17.0
460,OO,-9.0
461,HA,1.0
462,B6,11.0
463,OO,-3.0
464,UA,-5.0
465,US,4.0
466,UA,-28.0
467,WN,-9.0
468,WN,-2.0
469,WN,-4.0
470,WN,-23.0
471,WN,-29.0
472,WN,-10.0
473,UA,-9.0
474,UA,-42.0
475,US,-9.0
476,AA,-5.0
477,AA,-24.0
478,AA,-1.0
479,AS,-10.0
480,AA,10.0
481,DL,-10.0
482,DL,-9.0
483,DL,6.0
484,EV,24.0
485,EV,-14.0
486,F9,-15.0
487,NK,-12.0
488,NK,-5.0
489,OO,9.0
490,OO,-7.0
491,OO,3.0
492,UA,20.0
493,B6,-11.0
494,F9,-12.0
495,OO,12.0
496,OO,-2.0
497,NK,-15.0
498,UA,-3.0
499,DL,-31.0
500,US,-10.0
501,UA,3.0
502,WN,-19.0
503,WN,11.0
504,US,-17.0
505,AA,17.0
506,AA,7.0
507,AA,167.0
508,AA,-18.0
509,AA,5.0
510,AA,-22.0
511,AS,4.0
512,B6,5.0
513,B6,3.0
514,DL,-19.0
515,DL,36.0
516,DL,-35.0
517,B6,-11.0
518,EV,-25.0
519,F9,-6.0
520,NK,4.0
521,OO,12.0
522,OO,-11.0
523,EV,-4.0
524,OO,-9.0
525,EV,-10.0
526,HA,-9.0
527,OO,1.0
528,DL,-19.0
529,UA,5.0
530,US,4.0
531,US,22.0
532,US,-2.0
533,UA,20.0
534,UA,55.0
535,OO,-6.0
536,WN,-9.0
537,WN,3.0
538,UA,-15.0
539,US,-1.0
540,US,5.0
541,US,7.0
542,US,156.0
543,AA,-11.0
544,AA,8.0
545,AA,10.0
546,AS,-10.0
547,AS,-9.0
548,AS,-8.0
549,B6,4.0
550,B6,-30.0
551,B6,-17.0
552,B6,2.0
553,DL,-20.0
554,DL,-16.0
555,DL,-22.0
556,DL,-7.0
557,DL,-31.0
558,DL,-3.0
559,DL,13.0
560,DL,-38.0
561,DL,-15.0
562,EV,1.0
563,EV,-7.0
564,EV,-13.0
565,EV,-5.0
566,F9,69.0
567,F9,9.0
568,F9,17.0
569,F9,-6.0
570,OO,-16.0
571,NK,10.0
572,OO,7.0
573,OO,-9.0
574,OO,-4.0
575,OO,12.0
576,OO,-1.0
577,UA,-5.0
578,EV,-17.0
579,HA,-6.0
580,B6,2.0
581,OO,-25.0
582,UA,19.0
583,US,-23.0
584,WN,-10.0
585,WN,-6.0
586,US,-13.0
587,AA,8.0
588,AA,-27.0
589,AA,-9.0
590,AS,-8.0
591,AS,-12.0
592,AS,-10.0
593,B6,8.0
594,B6,-26.0
595,AA,45.0
596,DL,-17.0
597,DL,-41.0
598,DL,-10.0
599,EV,-20.0
600,OO,-1.0
601,OO,-13.0
602,UA,-15.0
603,DL,-2.0
604,OO,-17.0
605,US,-8.0
606,US,-2.0
607,US,-9.0
608,WN,-19.0
609,WN,-16.0
610,WN,-15.0
611,WN,-12.0
612,WN,-16.0
613,WN,-5.0
614,UA,-37.0
615,UA,2.0
616,AA,-3.0
617,AA,-7.0
618,AS,14.0
619,AS,-5.0
620,AS,-16.0
621,AS,-7.0
622,AS,10.0
623,AS,50.0
624,AA,20.0
625,DL,-8.0
626,DL,-11.0
627,DL,-7.0
628,DL,-5.0
629,EV,-11.0
630,EV,14.0
631,EV,8.0
632,EV,-10.0
633,MQ,11.0
634,MQ,-1.0
635,NK,97.0
636,NK,-11.0
637,NK,-16.0
638,OO,-3.0
639,OO,17.0
640,OO,-20.0
641,OO,-16.0
642,UA,-22.0
643,UA,-15.0
644,UA,37.0
645,VX,-16.0
646,WN,-26.0
647,WN,-2.0
648,WN,-18.0
649,WN,-29.0
650,WN,-25.0
651,WN,2.0
652,US,-12.0
653,AA,-3.0
654,AA,-18.0
655,AA,-12.0
656,AA,16.0
657,AA,-14.0
658,AA,31.0
659,B6,-12.0
660,B6,-12.0
661,DL,-23.0
662,DL,-21.0
663,DL,-19.0
664,DL,-8.0
665,DL,8.0
666,DL,-26.0
667,DL,-20.0
668,DL,-31.0
669,AA,-5.0
670,EV,28.0
671,F9,16.0
672,F9,8.0
673,F9,-8.0
674,MQ,-9.0
675,NK,-11.0
676,NK,8.0
677,OO,-11.0
678,OO,-14.0
679,OO,-1.0
680,OO,2.0
681,OO,7.0
682,OO,7.0
683,B6,1.0
684,HA,-6.0
685,OO,-7.0
686,DL,-9.0
687,UA,48.0
688,US,-9.0
689,US,-13.0
690,WN,-34.0
691,WN,-16.0
692,WN,4.0
693,UA,0.0
694,US,16.0
695,AA,-7.0
696,AA,-13.0
697,AA,2.0
698,AA,-15.0
699,AA,70.0
700,AA,-15.0
701,AA,-1.0
702,AS,-14.0
703,AS,-10.0
704,AS,-18.0
705,AS,-14.0
706,B6,-9.0
707,DL,-11.0
708,DL,-1.0
709,DL,-8.0
710,EV,-5.0
711,MQ,-10.0
712,MQ,-5.0
713,NK,14.0
714,OO,55.0
715,OO,11.0
716,UA,-16.0
717,HA,53.0
718,AA,-7.0
719,NK,26.0
720,UA,-15.0
721,UA,-10.0
722,UA,-1.0
723,US,-13.0
724,US,-7.0
725,UA,-1.0
726,WN,-30.0
