ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT_ORIGIN,AVERAGE_DEPARTURE_DELAY,parents_origin,parents,TOTAL_FLIGHTS,ids2,DESTINATION_AIRPORT,FLIGHT_COUNT_DESTINATION,AVERAGE_ARRIVAL_DELAY,parents_destination
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,823,MSP,55736,0.1335761446820726,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,835,MSY,6904,-0.7208864426419467,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,845,MTJ,35,-1.3428571428571427,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,851,MYR,851,3.064629847238543,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,859,OAK,919,-3.7845484221980414,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,867,OGG,966,6.855072463768116,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,873,OKC,1485,-2.4343434343434343,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,881,OMA,2162,-0.6253469010175763,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,892,ONT,211,-1.3554502369668249,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,899,ORD,6920,5.175289017341041,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,909,ORF,2703,0.7003329633740288,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,923,PBI,5651,1.4967262431428066,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,934,PDX,5421,0.4633831396421324,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,943,PHF,82,6.243902439024391,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,949,PHL,6522,4.467647960748237,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,961,PHX,6891,-1.3841242199970976,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,977,PIT,3485,0.6266857962697274,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,986,PNS,2248,2.165925266903914,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,991,PSC,305,-0.0098360655737704,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,997,PSP,155,-7.103225806451613,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1006,PVD,1454,-1.2737276478679505,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1014,PWM,667,1.3208395802098951,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1018,RAP,169,-1.0532544378698223,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1027,RDU,5066,0.5878405053296486,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1038,RIC,2564,1.437597503900156,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1048,RNO,929,-1.8869752421959096,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1053,ROA,383,3.971279373368146,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1057,ROC,1224,0.9076797385620916,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1070,RSW,5499,-0.5879250772867795,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1084,SAN,5823,-3.1471749957066804,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1095,SAT,2984,-1.4249329758713136,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1103,SAV,3128,3.04187979539642,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1109,SBN,14,-15.714285714285714,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1116,SDF,2666,1.4249812453113275,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1126,SEA,13513,1.3069636646192555,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1137,SFO,9648,2.226057213930348,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1145,SGF,331,4.018126888217522,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1150,SHV,270,-3.611111111111111,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1159,SJC,1315,-0.2653992395437262,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1169,SJU,3007,0.7043565014965082,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1177,SLC,33197,-1.0088562219477664,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1188,SMF,1841,-1.0010863661053775,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1197,SNA,2531,-5.874357961280126,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1209,SRQ,2096,0.340648854961832,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,1214,STL,4630,0.0269978401727861,Airports
