Unnamed: 0,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ORIGIN_AIRPORT_LAT,ORIGIN_AIRPORT_LON,DESTINATION_AIRPORT_LAT,DESTINATION_AIRPORT_LON
167,EV,GSO,EWR,36.09775,-79.9373,40.6925,-74.16866
168,NK,ORD,LGA,41.9796,-87.90446,40.77724,-73.87261
170,AA,EWR,MIA,40.6925,-74.16866,25.79325,-80.29056
171,OO,ONT,DEN,34.056,-117.60119,39.85841,-104.667
173,UA,PBI,IAH,26.68316,-80.09559,29.98047,-95.33972
174,UA,PHX,IAH,33.43417,-112.00806,29.98047,-95.33972
175,UA,RSW,IAH,26.53617,-81.75516999999999,29.98047,-95.33972
176,UA,EWR,MCO,40.6925,-74.16866,28.428890000000003,-81.31603
177,UA,OMA,ORD,41.30252,-95.89417,41.9796,-87.90446
178,US,SMF,PHX,38.69542,-121.59077,33.43417,-112.00806
179,US,OAK,PHX,37.72129,-122.22072,33.43417,-112.00806
180,US,PVD,CLT,41.724,-71.42822,35.214009999999995,-80.94313000000001
181,UA,RNO,DEN,39.49858,-119.76806,39.85841,-104.667
182,UA,PIT,IAH,40.49147,-80.23286999999999,29.98047,-95.33972
183,UA,DEN,IAH,39.85841,-104.667,29.98047,-95.33972
185,WN,LAS,BWI,36.08036,-115.15233,39.1754,-76.6682
186,WN,ABQ,HOU,35.04022,-106.60918999999998,29.64542,-95.27889
187,WN,PHX,SLC,33.43417,-112.00806,40.78839,-111.97777
188,WN,PIT,FLL,40.49147,-80.23286999999999,26.07258,-80.15275
189,WN,PVD,BWI,41.724,-71.42822,39.1754,-76.6682
190,WN,SFO,ATL,37.619,-122.37484,33.640440000000005,-84.42694
191,UA,SFO,ORD,37.619,-122.37484,41.9796,-87.90446
193,UA,PDX,IAH,45.58872,-122.5975,29.98047,-95.33972
194,UA,BOS,ORD,42.36435,-71.00518000000001,41.9796,-87.90446
195,UA,SFO,LAX,37.619,-122.37484,33.94254,-118.40807
196,UA,SAT,LAX,29.533690000000004,-98.46978,33.94254,-118.40807
197,UA,BOS,LAX,42.36435,-71.00518000000001,33.94254,-118.40807
198,UA,SEA,EWR,47.44898,-122.30931,40.6925,-74.16866
199,UA,LAX,ORD,33.94254,-118.40807,41.9796,-87.90446
200,US,IAH,PHX,29.98047,-95.33972,33.43417,-112.00806
201,US,MCO,PHX,28.428890000000003,-81.31603,33.43417,-112.00806
202,US,SFO,PHX,37.619,-122.37484,33.43417,-112.00806
203,AA,DFW,MCO,32.89595,-97.0372,28.428890000000003,-81.31603
204,AA,MIA,PHL,25.79325,-80.29056,39.87195,-75.24114
205,AA,SLC,DFW,40.78839,-111.97777,32.89595,-97.0372
207,AA,MIA,DFW,25.79325,-80.29056,32.89595,-97.0372
208,AA,BWI,MIA,39.1754,-76.6682,25.79325,-80.29056
209,AA,DFW,LGA,32.89595,-97.0372,40.77724,-73.87261
211,AA,DEN,ORD,39.85841,-104.667,41.9796,-87.90446
212,AA,MCI,DFW,39.29761,-94.71391,32.89595,-97.0372
215,AA,TUL,DFW,36.19837,-95.88824,32.89595,-97.0372
216,AA,LGA,MIA,40.77724,-73.87261,25.79325,-80.29056
217,AA,LIT,DFW,34.7294,-92.22425,32.89595,-97.0372
218,AA,MIA,LGA,25.79325,-80.29056,40.77724,-73.87261
220,AA,PDX,DFW,45.58872,-122.5975,32.89595,-97.0372
221,AA,TPA,DFW,27.97547,-82.53325,32.89595,-97.0372
222,AA,SMF,DFW,38.69542,-121.59077,32.89595,-97.0372
223,AA,MSY,MIA,29.99339,-90.25803,25.79325,-80.29056
225,AA,OMA,DFW,41.30252,-95.89417,32.89595,-97.0372
226,AA,OKC,DFW,35.39309,-97.60073,32.89595,-97.0372
