ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT_ORIGIN,AVERAGE_DEPARTURE_DELAY,parents,parents2,TOTAL_FLIGHTS
674,LEX,OO,394,8.99492385786802,Airports,Airlines,530182
675,LFT,DL,338,8.04733727810651,Airports,Airlines,794817
676,LFT,EV,3417,8.168568920105356,Airports,Airlines,509621
677,LFT,MQ,1148,6.330139372822299,Airports,Airlines,257130
678,LFT,OO,102,1.7843137254901962,Airports,Airlines,530182
679,LGA,AA,17409,6.595726348440462,Airports,Airlines,636554
680,LGA,B6,5969,15.918746858770314,Airports,Airlines,240304
681,LGA,DL,23745,14.639882080437989,Airports,Airlines,794817
682,LGA,EV,9272,15.845125107851596,Airports,Airlines,509621
683,LGA,F9,851,22.978848413631024,Airports,Airlines,82005
684,LGA,MQ,9243,13.72779400627502,Airports,Airlines,257130
685,LGA,NK,3491,15.857347464909768,Airports,Airlines,105059
686,LGA,OO,98,4.63265306122449,Airports,Airlines,530182
687,LGA,UA,7829,15.55371056329033,Airports,Airlines,462086
688,LGA,US,5890,6.8821731748726656,Airports,Airlines,194223
689,LGA,VX,1160,11.407758620689656,Airports,Airlines,55813
690,LGA,WN,9877,16.84479092841956,Airports,Airlines,1138350
691,LGB,B6,7458,7.952802359882006,Airports,Airlines,240304
692,LGB,OO,1246,2.4165329052969504,Airports,Airlines,530182
693,LIH,AA,680,4.579411764705882,Airports,Airlines,636554
694,LIH,AS,1193,-2.274937133277452,Airports,Airlines,157025
695,LIH,DL,332,13.123493975903614,Airports,Airlines,794817
696,LIH,HA,7283,-0.6924344363586434,Airports,Airlines,69815
697,LIH,UA,819,6.555555555555555,Airports,Airlines,462086
698,LIH,US,180,-1.5611111111111111,Airports,Airlines,194223
699,LIT,AA,9,12.555555555555555,Airports,Airlines,636554
700,LIT,DL,1918,5.054744525547445,Airports,Airlines,794817
701,LIT,EV,2808,8.397435897435898,Airports,Airlines,509621
702,LIT,MQ,2296,14.562282229965156,Airports,Airlines,257130
703,LIT,OO,806,10.694789081885856,Airports,Airlines,530182
704,LIT,WN,2295,8.503703703703703,Airports,Airlines,1138350
705,LNK,EV,1445,5.905882352941177,Airports,Airlines,509621
706,LNK,OO,1119,5.298480786416444,Airports,Airlines,530182
707,LRD,EV,1237,3.0670978172999197,Airports,Airlines,509621
708,LRD,MQ,890,5.385393258426967,Airports,Airlines,257130
709,LSE,MQ,1098,5.472677595628415,Airports,Airlines,257130
710,LSE,OO,483,3.645962732919255,Airports,Airlines,530182
711,LWS,OO,588,-2.9761904761904763,Airports,Airlines,530182
712,MAF,EV,1825,4.841095890410959,Airports,Airlines,509621
713,MAF,MQ,1018,13.102161100196463,Airports,Airlines,257130
714,MAF,OO,1283,5.06157443491816,Airports,Airlines,530182
715,MAF,WN,3126,6.947536788227767,Airports,Airlines,1138350
716,MBS,EV,146,5.253424657534247,Airports,Airlines,509621
717,MBS,OO,1508,8.011936339522546,Airports,Airlines,530182
718,MCI,AA,3726,8.506709608158884,Airports,Airlines,636554
719,MCI,AS,396,1.6085858585858586,Airports,Airlines,157025
720,MCI,DL,5055,5.742631058358062,Airports,Airlines,794817
721,MCI,EV,3232,6.196163366336633,Airports,Airlines,509621
