AIRPORT,MEAN_DEPARTURE_DELAY,ORIGIN_LAT,ORIGIN_LON,MEAN_DESTINATION_DELAY,DESTINATION_LAT,DESTINATION_LON
FAY,0.1,34.99147,-78.88,0.1,34.99147,-78.88
FCA,0.1,48.3114,-114.25507,12.333333333333334,48.3114,-114.25507
FLG,14.333333333333334,35.13845,-111.67122,29.0,35.13845,-111.67122
FLL,3.653679653679654,26.072579999999995,-80.15275,0.1,26.072579999999995,-80.15275
FNT,4.181818181818182,42.9655,-83.74346,0.1,42.9655,-83.74346
FSD,9.133333333333333,43.58135,-96.7417,26.11764705882353,43.58135,-96.7417
FSM,19.333333333333332,35.33659,-94.36744,33.333333333333336,35.33659,-94.36744
FWA,0.7142857142857143,40.97847,-85.19515,0.1,40.97847,-85.19515
GCC,4.5,44.3489,-105.53936000000002,42.0,44.34889999999999,-105.53936000000003
GCK,8.0,37.92752,-100.72441,10.0,37.92752,-100.72441
GEG,10.35,47.61986,-117.53383999999998,10.434782608695652,47.61986000000001,-117.53383999999997
GFK,0.1,47.94926,-97.17611,,,
GGG,23.0,32.38486,-94.71171,16.0,32.38486,-94.71171
GJT,0.1,39.12241,-108.52673,7.222222222222222,39.12241,-108.52673
GNV,0.1,29.69006,-82.27178,0.1,29.69006,-82.27178
GPT,0.1,30.40728,-89.07009000000001,8.0,30.407280000000004,-89.07009000000001
GRB,8.363636363636363,44.48507,-88.12959000000001,9.083333333333334,44.48507,-88.12959000000001
GRI,0.1,40.96747,-98.30861,0.1,40.96747,-98.30861
GRK,49.77777777777778,31.064900000000005,-97.8278,44.2,31.0649,-97.8278
GRR,6.043478260869565,42.88082,-85.52277,13.454545454545455,42.88082,-85.52277
GSO,0.1,36.09775,-79.9373,0.1,36.09775,-79.9373
GSP,0.5,34.89567,-82.21885999999999,0.1,34.89567,-82.21885999999998
GTF,0.1,47.482,-111.37069,3.75,47.482,-111.37069
GTR,0.1,33.45033,-88.59137,0.1,33.45033,-88.59137
GUC,116.75,38.53396,-106.93318,29.75,38.53396,-106.93318
GUM,51.0,13.48345,-144.79598,63.0,13.48345,-144.79598
HDN,84.16666666666667,40.48118,-107.21765999999998,24.2,40.48118,-107.21766
HIB,1.0,47.3866,-92.83899,4.5,47.3866,-92.83899
HLN,0.1,46.60682,-111.98275,23.0,46.60682,-111.98275
HNL,7.75,21.31869,-157.92241,16.529411764705884,21.31869,-157.92241
HOU,14.75609756097561,29.64542,-95.27889,10.0,29.64542,-95.27889
HPN,0.1,41.06696,-73.70756999999999,0.1,41.06696,-73.70756999999999
HRL,43.8,26.22851,-97.65439,10.2,26.22851,-97.65439
HSV,0.1,34.64045,-86.77311,0.16666666666666666,34.64045,-86.77311000000002
HYS,0.1,38.84494,-99.27403,13.5,38.84494,-99.27403
IAD,9.007299270072993,38.94453,-77.45581,1.8776978417266188,38.94453,-77.45581
IAG,0.1,43.10726,-78.94538,4.0,43.10726,-78.94538
IAH,14.617577197149643,29.98047,-95.33972,14.468446601941748,29.98047,-95.33972
ICT,12.466666666666667,37.64996,-97.43305,31.0,37.64996,-97.43305
IDA,10.333333333333334,43.514559999999996,-112.07017,36.285714285714285,43.51456,-112.07017
ILG,36.0,39.67872,-75.60653,38.0,39.67872,-75.60653
ILM,0.1,34.27061,-77.90256,0.1,34.27061,-77.90256
IMT,0.1,45.81835,-88.11454,1.0,45.81835,-88.11454
IND,1.6875,39.71733,-86.29438,7.030769230769231,39.71733,-86.29438
INL,0.1,48.56619,-93.40307,0.1,48.56619,-93.40307
ISN,7.666666666666667,48.17794,-103.64235000000001,29.5,48.17794,-103.64235000000001
ISP,2.5,40.79524,-73.10021,0.1,40.79524,-73.10021
ITO,7.833333333333333,19.72026,-155.04847,10.944444444444445,19.72026,-155.04847
JAC,3.7857142857142856,43.60732,-110.73774,7.714285714285714,43.60732,-110.73774
JAN,2.4444444444444446,32.311170000000004,-90.07589,7.9411764705882355,32.311170000000004,-90.07589
JAX,6.6,30.49406,-81.68786,8.5625,30.49406,-81.68786
JFK,4.697080291970803,40.63975,-73.77893,1.4036363636363636,40.63975,-73.77893
JLN,26.0,37.15181,-94.49827,15.0,37.15181,-94.49827
JMS,111.5,46.92972,-98.6782,121.5,46.92972,-98.6782
JNU,0.1,58.35496,-134.57628,0.1,58.35496,-134.57628
KOA,2.0294117647058822,19.73877,-156.04563000000002,5.0,19.73877,-156.04563000000002
KTN,0.1,55.35556999999999,-131.71374,0.6666666666666666,55.35556999999999,-131.71374
LAN,0.1,42.7787,-84.58736,0.1,42.7787,-84.58736
LAR,0.1,41.31205,-105.67499,17.0,41.31205,-105.67499
LAS,9.079411764705883,36.08036,-115.15233,4.896656534954407,36.08036,-115.15233000000002
LAW,223.0,34.56771,-98.41664,78.0,34.56771,-98.41664
LAX,8.215579710144928,33.94254,-118.40807,5.2283609576427255,33.94254,-118.40807
LBB,47.27272727272727,33.66364,-101.82277999999998,45.0,33.66364,-101.82277999999998
LBE,0.1,40.275940000000006,-79.4048,18.0,40.275940000000006,-79.4048
LCH,0.1,30.126099999999997,-93.22340000000001,0.1,30.126099999999997,-93.22340000000001
LEX,0.1,38.03697,-84.60539,0.1,38.03697,-84.60539
LFT,3.5,30.20528,-91.98766,7.583333333333333,30.20528,-91.98766
LGA,5.219626168224299,40.77724,-73.87261,0.1,40.77724,-73.87261
LGB,0.1,33.81772,-118.15160999999999,0.1,33.81772,-118.15160999999999
LIH,43.294117647058826,21.97598,-159.33896,6.029411764705882,21.97598,-159.33896
LIT,3.4615384615384617,34.7294,-92.22425,11.458333333333334,34.7294,-92.22425
LNK,33.333333333333336,40.85097,-96.75925,16.333333333333332,40.85097,-96.75925
LRD,23.5,27.543740000000003,-99.46154,25.4,27.543740000000003,-99.46154
LSE,0.1,43.87938,-91.25654,0.1,43.87938,-91.25654
LWS,0.1,46.3745,-117.01539,0.1,46.3745,-117.01539
MAF,39.2,31.942529999999998,-102.20191,19.833333333333332,31.94253,-102.20191
MBS,0.1,43.53291,-84.07965,0.1,43.53291,-84.07965
MCI,5.25,39.29761,-94.71391,7.918367346938775,39.29761,-94.71391000000001
MCO,7.127329192546584,28.428890000000003,-81.31603,1.6360759493670887,28.428890000000006,-81.31603
MDT,30.2,40.1935,-76.7634,3.2,40.1935,-76.7634
MDW,8.222826086956522,41.78598,-87.75242,0.5944444444444444,41.78598,-87.75242
MEI,0.6666666666666666,32.33313,-88.75121,1.6666666666666667,32.33313,-88.75121
MEM,1.435897435897436,35.04242,-89.97667,8.256410256410257,35.04242,-89.97667
MFE,0.1,26.175830000000005,-98.23861000000001,12.727272727272727,26.175830000000005,-98.23861000000001
