ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT,AVERAGE_DEPARTURE_DELAY,parents_origin
173,BUF,MQ,929,7.953713670613563,Airports
174,BUF,OO,114,9.833333333333334,Airports
175,BUF,UA,503,15.003976143141154,Airports
176,BUF,US,653,4.055130168453292,Airports
177,BUF,WN,5747,7.8654950408909,Airports
178,BUR,AS,1009,-3.284440039643211,Airports
179,BUR,B6,302,15.0,Airports
180,BUR,OO,3962,6.180716809692075,Airports
181,BUR,WN,13254,6.418137920627735,Airports
182,BWI,AA,4056,9.235700197238659,Airports
183,BWI,AS,412,7.327669902912621,Airports
184,BWI,B6,1734,3.949826989619377,Airports
185,BWI,DL,6465,8.701005413766435,Airports
186,BWI,EV,340,7.08235294117647,Airports
187,BWI,MQ,1043,17.20613614573346,Airports
188,BWI,NK,2768,18.90534682080925,Airports
189,BWI,OO,1,156.0,Airports
190,BWI,UA,2955,12.582402707275804,Airports
191,BWI,US,1864,5.708154506437769,Airports
192,BWI,WN,62691,14.253529214719816,Airports
193,BZN,DL,1078,4.924860853432282,Airports
194,BZN,F9,189,-0.30687830687830686,Airports
195,BZN,OO,1613,3.5809051456912586,Airports
196,BZN,UA,677,14.726735598227474,Airports
197,CAE,DL,1010,4.527722772277228,Airports
198,CAE,EV,3821,11.127191834598273,Airports
199,CAE,MQ,162,16.203703703703702,Airports
200,CAE,OO,33,25.575757575757574,Airports
201,CAK,DL,1334,5.813343328335832,Airports
202,CAK,EV,1485,5.114478114478114,Airports
203,CAK,OO,44,8.681818181818182,Airports
204,CAK,WN,3111,6.512696882031501,Airports
205,CDC,OO,572,3.1625874125874125,Airports
206,CDV,AS,652,-3.26840490797546,Airports
207,CEC,OO,173,17.184971098265898,Airports
208,CHA,DL,774,5.332041343669251,Airports
209,CHA,EV,2645,8.412476370510397,Airports
210,CHA,MQ,637,10.210361067503925,Airports
211,CHA,OO,69,6.159420289855072,Airports
212,CHO,DL,320,1.028125,Airports
213,CHO,EV,559,8.500894454382827,Airports
214,CHO,MQ,233,16.098712446351932,Airports
215,CHO,OO,980,17.727551020408164,Airports
216,CHS,AA,141,-1.2907801418439717,Airports
217,CHS,AS,26,-1.9230769230769231,Airports
218,CHS,B6,1762,11.427922814982974,Airports
219,CHS,DL,3581,5.02904216699246,Airports
220,CHS,EV,2585,10.018181818181818,Airports
221,CHS,MQ,485,10.690721649484535,Airports
222,CHS,OO,561,15.105169340463458,Airports
223,CHS,UA,3,1.3333333333333333,Airports
224,CHS,US,64,2.015625,Airports
225,CHS,WN,2340,8.261965811965812,Airports
226,CID,EV,1890,7.8693121693121695,Airports
227,CID,F9,101,8.554455445544555,Airports
228,CID,MQ,2572,11.076594090202176,Airports
229,CID,OO,2025,9.899753086419754,Airports
230,CIU,OO,596,10.692953020134228,Airports
231,CLD,OO,628,5.353503184713376,Airports
232,CLE,AA,1762,7.447219069239501,Airports
233,CLE,B6,627,3.6443381180223287,Airports
234,CLE,DL,2273,4.304443466783986,Airports
235,CLE,EV,9942,6.25819754576544,Airports
236,CLE,F9,2980,18.129194630872483,Airports
237,CLE,MQ,1868,11.591006423982869,Airports
238,CLE,NK,2122,13.398680490103676,Airports
239,CLE,OO,457,10.369803063457331,Airports
240,CLE,UA,6461,9.444203683640303,Airports
241,CLE,US,910,-0.25054945054945055,Airports
242,CLE,WN,4363,6.448086179234472,Airports
243,CLL,EV,692,1.75,Airports
244,CLL,MQ,1508,3.343501326259947,Airports
245,CLT,AA,41447,8.695176973001665,Airports
246,CLT,B6,1240,12.612096774193548,Airports
247,CLT,DL,5974,6.295614328757951,Airports
248,CLT,EV,3297,11.866545344252351,Airports
249,CLT,F9,551,12.433756805807622,Airports
250,CLT,MQ,114,10.973684210526315,Airports
251,CLT,OO,708,20.0225988700565,Airports
252,CLT,UA,269,14.070631970260223,Airports
253,CLT,US,43705,7.567234870152157,Airports
254,CLT,WN,1747,11.764167143674872,Airports
255,CMH,AA,1871,6.810796365579904,Airports
256,CMH,DL,3026,5.854923992068738,Airports
257,CMH,EV,2374,10.778011794439765,Airports
258,CMH,MQ,4349,13.835824327431594,Airports
259,CMH,OO,874,11.996567505720824,Airports
260,CMH,UA,691,13.9232995658466,Airports
261,CMH,US,491,5.291242362525458,Airports
262,CMH,WN,9881,8.581418884728267,Airports
263,CMI,MQ,1994,7.506519558676028,Airports
264,CMX,OO,619,6.55735056542811,Airports
265,CNY,OO,205,-6.058536585365854,Airports
266,COD,OO,651,7.204301075268817,Airports
267,COS,AA,1052,7.054182509505703,Airports
268,COS,DL,305,7.527868852459016,Airports
269,COS,EV,495,7.109090909090909,Airports
270,COS,OO,4893,9.984671980380135,Airports
271,COU,MQ,1241,14.667203867848508,Airports
272,CPR,OO,1744,0.9696100917431193,Airports
273,CRP,EV,2558,7.650508209538702,Airports
274,CRP,MQ,729,8.001371742112482,Airports
275,CRP,OO,194,5.206185567010309,Airports
276,CRP,WN,1235,7.880161943319838,Airports
277,CRW,DL,314,6.273885350318471,Airports
278,CRW,EV,1898,12.369336143308747,Airports
279,CRW,NK,64,7.859375,Airports
280,CRW,OO,39,14.076923076923077,Airports
281,CSG,EV,1060,5.574528301886793,Airports
282,CVG,DL,5791,4.871697461578311,Airports
283,CVG,EV,2996,8.83177570093458,Airports
284,CVG,F9,2017,16.792265741199802,Airports
285,CVG,MQ,4630,9.602159827213823,Airports
286,CVG,OO,4030,11.786848635235732,Airports
287,CVG,UA,3,302.3333333333333,Airports
288,CWA,EV,597,6.291457286432161,Airports
289,CWA,MQ,704,5.224431818181818,Airports
290,CWA,OO,60,4.85,Airports
291,DAB,DL,1479,5.295469912102772,Airports
292,DAB,EV,2,36.5,Airports
